Word,Dom_PoS_SUBTLEX,Percentage_dom_PoS,All_PoS_SUBTLEX,All_freqs_SUBTLEX,Freq_dom_PoS_SUBTLEX
a,Article,0.96,Article.Adverb.Letter.To.Noun.Preposition.Adjective,993445.33186.6441.744.257.52.5,993445
aa,Name,0.92,Name.Noun,79.7,79
aaa,Name,0.8,Name.Noun,20.5,20
aah,Interjection,1,Interjection,2657,2657
aahed,Verb,1,Verb,1,1
aahing,Verb,1,Verb,2,2
aahs,Noun,1,Noun,5,5
aal,Adjective,1,Adjective,1,1
aardvark,Noun,0.76,Noun.Verb.Name,16.3.2,16
aargh,Interjection,1,Interjection,32,32
aaron,Name,1,Name,744,744
aarrgh,Verb,1,Verb,1,1
aarrghh,Noun,1,Noun,1,1
aas,Noun,0.5,Noun.Name,1.1,1
ab,Unclassified,0.78,Unclassified.Noun.Verb,57.11.5,57
aba,Noun,1,Noun,2,2
abaca,Noun,1,Noun,1,1
aback,Adverb,1,Adverb,15,15
abacus,Noun,0.92,Noun.Name,11.1,11
abacuses,Noun,1,Noun,1,1
abaddon,Noun,0.6,Noun.Name,6.4,6
abaft,Verb,0.5,Verb.Noun,1.1,1
abalone,Verb,0.54,Verb.Noun.Name,14.9.3,14
abalones,Noun,1,Noun,6,6
abandon,Verb,0.96,Verb.Noun,395.18,395
abandoned,Verb,0.71,Verb.Adjective,480.2,480
abandoner,Noun,1,Noun,1,1
abandoning,Verb,1,Verb,86,86
abandonment,Noun,1,Noun,49,49
abandons,Verb,1,Verb,14,14
abase,Verb,1,Verb,3,3
abastard,Noun,1,Noun,1,1
abate,Verb,0.8,Verb.Noun,4.1,4
abated,Verb,1,Verb,4,4
abatement,Noun,1,Noun,3,3
abates,Verb,1,Verb,2,2
abating,Verb,1,Verb,1,1
abattoir,Noun,1,Noun,7,7
abay,Name,1,Name,3,3
abb,Name,0.54,Name.Noun,28.24,28
abba,Name,0.78,Name.Noun,7.2,7
abbas,Name,1,Name,5,5
abbe,Name,1,Name,2,2
abbess,Noun,0.5,Noun.Name,1.1,1
abbesses,Noun,1,Noun,1,1
abbey,Noun,0.94,Noun.Name,152.1,152
abbot,Name,0.51,Name.Noun,22.21,22
abbott,Name,1,Name.Noun,396.1,396
abbreviate,Verb,1,Verb,1,1
abbreviated,Adjective,0.75,Adjective.Verb,12.4,12
abbreviation,Noun,1,Noun,12,12
abbreviations,Noun,1,Noun,10,10
abby,Name,1,Name,632,632
abc,Name,0.91,Name.Noun,114.11,114
abd,Noun,1,Noun,1,1
abdicate,Verb,1,Verb,9,9
abdicated,Verb,1,Verb,7,7
abdicates,Noun,1,Noun,1,1
abdicating,Verb,1,Verb,3,3
abdication,Noun,1,Noun,6,6
abdomen,Noun,1,Noun,171,171
abdomens,Noun,1,Noun,3,3
abdominal,Adjective,1,Adjective,174,174
abdominals,Noun,1,Noun,7,7
abduct,Verb,0.94,Verb.Noun,34.2,34
abducted,Verb,0.94,Verb.Adjective.Name,240.11.3,240
abductee,Noun,1,Noun,20,20
abductees,Noun,1,Noun,18,18
abducting,Verb,1,Verb,16,16
abduction,Noun,1,Noun,185,185
abductions,Noun,1,Noun,41,41
abductor,Noun,0.94,Noun.Name,17.1,17
abductors,Noun,1,Noun,11,11
abducts,Verb,1,Verb,8,8
abeam,Noun,0.86,Noun.Verb,6.1,6
abed,Adverb,1,Adverb,10,10
abel,Name,0.97,Name.Verb.Noun,66.1.1,66
abele,Noun,1,Noun,1,1
abend,Noun,0.67,Noun.Name,6.3,6
aberdeen,Name,1,Name,17,17
abernethy,Name,1,Name,1,1
aberrant,Adjective,0.8,Adjective.Noun,12.3,12
aberration,Noun,1,Noun,28,28
aberrations,Noun,1,Noun,8,8
abet,Verb,1,Verb,5,5
abetted,Verb,1,Verb,8,8
abetting,Verb,0.96,Verb.Name,26.1,26
abettor,Noun,1,Noun,1,1
abeyance,Noun,1,Noun,2,2
abhor,Verb,1,Verb,12,12
abhorred,Verb,1,Verb,7,7
abhorrent,Adjective,1,Adjective,9,9
abhors,Verb,1,Verb,4,4
abide,Verb,1,Verb,138,138
abided,Verb,1,Verb,3,3
abiders,Noun,1,Noun,1,1
abides,Verb,1,Verb,4,4
abiding,Adjective,0.68,Adjective.Verb,17.8,17
abigail,Name,0.58,Name.Verb.Noun,88.51.14,88
abilene,Name,0.88,Name.Noun,60.8,60
abilities,Noun,1,Noun,308,308
ability,Noun,1,Noun,975,975
abiogenist,Noun,1,Noun,3,3
abit,Noun,1,Noun,1,1
abject,Adjective,1,Adjective,20,20
abjectly,Adverb,1,Adverb,3,3
abjure,Verb,1,Verb,1,1
ablate,Verb,1,Verb,1,1
ablated,Verb,1,Verb,1,1
ablation,Noun,1,Noun,1,1
ablaze,Adjective,1,Adjective,21,21
able,Adjective,1,Adjective,8148,8148
abler,Adjective,1,Adjective,1,1
ablest,Adjective,1,Adjective,3,3
abloom,Verb,0.67,Verb.Noun,2.1,2
ablution,Noun,1,Noun,3,3
ablutions,Noun,1,Noun,4,4
ably,Adverb,1,Adverb,9,9
abner,Name,0.58,Name.Noun,97.7,97
abnormal,Adjective,1,Adjective,147,147
abnormalities,Noun,1,Noun,25,25
abnormality,Noun,1,Noun,26,26
abnormally,Adverb,1,Adverb,20,20
abnormity,Noun,1,Noun,1,1
abo,Noun,1,Noun,6,6
aboard,Adverb,0.75,Adverb.Preposition,1006.342,1006
abode,Noun,1,Noun,33,33
abogado,Noun,1,Noun,2,2
abolish,Verb,1,Verb,24,24
abolished,Verb,1,Verb,20,20
abolishes,Verb,1,Verb,1,1
abolishing,Verb,1,Verb,2,2
abolition,Noun,1,Noun,10,10
abolitionism,Noun,1,Noun,1,1
abolitionist,Noun,1,Noun,10,10
abolitionists,Noun,1,Noun,13,13
abomasum,Noun,1,Noun,1,1
